secs,nsecs,tx,ty,tz,rx,ry,rz,rw
1677114349,519356070,0.308876,0.502425,0.521670,0.544409,-0.170001,0.036388,0.820606
1677114349,529571020,0.309724,0.502893,0.521408,0.545410,-0.169574,0.035072,0.820087
1677114349,539765489,0.309801,0.503672,0.520275,0.548920,-0.165314,0.029588,0.818830
1677114349,549826265,0.311029,0.503756,0.519892,0.547433,-0.167166,0.029362,0.819457
1677114349,559788675,0.311901,0.504212,0.519279,0.547284,-0.166164,0.028988,0.819774
1677114349,569377787,0.312852,0.504902,0.518500,0.547901,-0.165301,0.028730,0.819545
1677114349,579600296,0.313847,0.505565,0.517721,0.547884,-0.164341,0.028740,0.819749
1677114349,589899639,0.314690,0.506026,0.516867,0.546913,-0.163118,0.027749,0.820676
1677114349,600022451,0.315768,0.506625,0.516017,0.546739,-0.162372,0.027667,0.820942
1677114349,610080570,0.316715,0.507034,0.515195,0.545775,-0.161103,0.026840,0.821860
1677114349,620267450,0.317693,0.507373,0.514372,0.544969,-0.160035,0.025550,0.822645
1677114349,630147958,0.318638,0.507578,0.513555,0.543821,-0.158583,0.023828,0.823737
1677114349,640537852,0.319968,0.508235,0.512586,0.546245,-0.156667,0.023787,0.822500
1677114349,649622321,0.321085,0.508593,0.511701,0.546703,-0.154517,0.022741,0.822632
1677114349,659658799,0.322102,0.508192,0.511120,0.543622,-0.150450,0.022260,0.825436
1677114349,669985519,0.323301,0.508538,0.510272,0.544610,-0.149066,0.020894,0.825071
1677114349,680701354,0.324444,0.508827,0.509421,0.545303,-0.147385,0.019768,0.824943
1677114349,690006826,0.325507,0.509022,0.508522,0.545452,-0.145802,0.018217,0.825162
1677114349,700069012,0.326687,0.509519,0.507567,0.546752,-0.144365,0.018173,0.824555
1677114349,710105881,0.327638,0.509659,0.506653,0.546372,-0.143552,0.016813,0.824978
1677114349,719521098,0.328582,0.509849,0.505777,0.546431,-0.142898,0.016534,0.825058
1677114349,729814927,0.329486,0.510006,0.504896,0.546725,-0.142555,0.016624,0.824920
1677114349,739978933,0.330195,0.510111,0.503946,0.547224,-0.142272,0.016482,0.824641
1677114349,749472982,0.330859,0.510180,0.503035,0.547725,-0.141781,0.017176,0.824379
1677114349,760476582,0.331467,0.510204,0.502093,0.548146,-0.141801,0.018150,0.824075
1677114349,770177853,0.332141,0.510329,0.501120,0.548929,-0.141781,0.020295,0.823507
1677114349,779722373,0.332635,0.510292,0.500137,0.548908,-0.141221,0.022279,0.823565
1677114349,789420165,0.333152,0.510406,0.499049,0.549448,-0.141880,0.023830,0.823049
1677114349,799697490,0.333793,0.510580,0.497876,0.549661,-0.141839,0.026602,0.822829
1677114349,809757656,0.334427,0.510641,0.496682,0.549049,-0.142348,0.029229,0.823060
1677114349,819778065,0.334973,0.510833,0.495322,0.548781,-0.142767,0.030912,0.823105
