secs,nsecs,tx,ty,tz,rx,ry,rz,rw
1677114721,213086889,0.262754,0.609605,0.554280,0.403527,-0.142031,-0.208576,0.879482
1677114721,223016109,0.262740,0.609653,0.554058,0.402999,-0.142025,-0.208488,0.879746
1677114721,232987092,0.262824,0.609880,0.553699,0.403220,-0.142765,-0.208426,0.879540
1677114721,242716668,0.262877,0.610066,0.553376,0.402984,-0.143439,-0.208463,0.879529
1677114721,252950199,0.262930,0.610237,0.553145,0.402840,-0.144268,-0.208331,0.879491
1677114721,263533918,0.262901,0.610486,0.552843,0.403389,-0.145335,-0.208805,0.878951
1677114721,273439431,0.262872,0.610625,0.552621,0.403684,-0.146459,-0.208699,0.878655
1677114721,282882808,0.262791,0.610729,0.552427,0.403710,-0.147809,-0.208612,0.878437
1677114721,292888570,0.262626,0.610902,0.552206,0.403564,-0.148543,-0.208500,0.878407
1677114721,303222951,0.262519,0.611219,0.551927,0.403452,-0.149184,-0.208399,0.878374
1677114721,313289452,0.262336,0.611671,0.551523,0.403405,-0.148873,-0.208149,0.878507
1677114721,323601767,0.262301,0.612173,0.551031,0.403131,-0.149809,-0.207539,0.878618
1677114721,333406285,0.262146,0.612587,0.550610,0.401789,-0.149835,-0.207030,0.879349
1677114721,342606605,0.262219,0.613037,0.550082,0.400711,-0.150480,-0.205594,0.880067
1677114721,352951820,0.262130,0.613538,0.549519,0.399514,-0.150530,-0.205461,0.880633
1677114721,363218809,0.262200,0.613975,0.548942,0.398299,-0.150638,-0.204684,0.881346
1677114721,372898087,0.262313,0.614430,0.548341,0.397390,-0.150775,-0.204312,0.881819
1677114721,383207592,0.262337,0.614848,0.547743,0.396324,-0.150260,-0.204817,0.882269
1677114721,393495966,0.262690,0.615218,0.547128,0.396047,-0.150729,-0.204318,0.882430
1677114721,403414275,0.262836,0.615408,0.546658,0.394736,-0.150646,-0.204957,0.882883
1677114721,413064597,0.263071,0.615616,0.546162,0.394331,-0.150886,-0.205562,0.882882
1677114721,422973527,0.263251,0.615820,0.545673,0.394438,-0.150685,-0.206370,0.882680
1677114721,433056038,0.263497,0.615937,0.545221,0.394681,-0.151053,-0.206727,0.882425
1677114721,442934724,0.263829,0.616031,0.544779,0.395679,-0.151051,-0.205962,0.882157
1677114721,454061462,0.263986,0.616191,0.544319,0.396567,-0.151883,-0.206235,0.881552
1677114721,463718808,0.264106,0.616293,0.543841,0.396831,-0.152199,-0.205929,0.881450
1677114721,473042239,0.264474,0.616519,0.543193,0.397455,-0.153654,-0.204674,0.881209
