secs,nsecs,tx,ty,tz,rx,ry,rz,rw
1677114403,281166545,0.410507,0.533341,0.473937,0.652047,-0.000768,0.045974,0.756783
1677114403,291378066,0.410579,0.533633,0.473433,0.651653,-0.000940,0.046513,0.757089
1677114403,301659527,0.410633,0.533884,0.472881,0.651697,-0.002076,0.046488,0.757050
1677114403,311856660,0.410506,0.534189,0.472308,0.652467,-0.001666,0.047024,0.756355
1677114403,321767057,0.410016,0.534042,0.471636,0.651466,-0.000126,0.047506,0.757189
1677114403,331586074,0.410006,0.534145,0.470951,0.651369,-0.001435,0.048783,0.757190
1677114403,340816503,0.409893,0.534464,0.470217,0.651918,-0.003395,0.049634,0.756656
1677114403,351490101,0.409890,0.534869,0.469460,0.652360,-0.006278,0.051216,0.756150
1677114403,361370642,0.409698,0.534992,0.468616,0.651411,-0.008384,0.052601,0.756853
1677114403,372192763,0.409407,0.535264,0.467715,0.651328,-0.010858,0.053347,0.756841
1677114403,381292202,0.409105,0.535444,0.466807,0.651200,-0.012601,0.054426,0.756847
1677114403,391440073,0.408938,0.535554,0.465882,0.651536,-0.014520,0.055564,0.756441
1677114403,400773381,0.408778,0.535567,0.464942,0.652216,-0.016151,0.056261,0.755770
1677114403,410922070,0.408575,0.535404,0.463980,0.652970,-0.016697,0.056716,0.755072
1677114403,421043991,0.408537,0.535264,0.463022,0.654341,-0.017751,0.056992,0.753840
1677114403,430954006,0.408493,0.535066,0.462002,0.655500,-0.017670,0.057473,0.752798
1677114403,441199795,0.408479,0.534830,0.460991,0.656379,-0.017385,0.057649,0.752025
1677114403,451040728,0.408489,0.534851,0.459861,0.657797,-0.016859,0.058060,0.750765
1677114403,460829659,0.408480,0.535022,0.458662,0.659339,-0.016645,0.057955,0.749424
1677114403,470876943,0.408430,0.535060,0.457416,0.659809,-0.016110,0.057796,0.749034
1677114403,481122134,0.408374,0.535095,0.456098,0.660025,-0.015293,0.057404,0.748891
1677114403,491697284,0.408420,0.535251,0.454732,0.660424,-0.015234,0.056790,0.748587
1677114403,501143903,0.408473,0.535527,0.453286,0.660890,-0.015062,0.056269,0.748218
1677114403,511395051,0.408556,0.535830,0.451902,0.661200,-0.014551,0.056569,0.747932
1677114403,521689376,0.408516,0.536057,0.450425,0.661431,-0.014361,0.056452,0.747740
1677114403,531149802,0.408483,0.536444,0.448926,0.662459,-0.014051,0.057418,0.746762
1677114403,540888123,0.408215,0.536478,0.447311,0.662320,-0.013539,0.058108,0.746842
1677114403,550845904,0.407990,0.536619,0.445654,0.663031,-0.014267,0.059382,0.746097
1677114403,561269030,0.407693,0.536560,0.443949,0.663046,-0.014766,0.061660,0.745889
1677114403,571600224,0.407397,0.536754,0.442112,0.664254,-0.016043,0.062406,0.744725
1677114403,581730963,0.407163,0.536790,0.440210,0.664715,-0.017408,0.062909,0.744240
1677114403,591824531,0.407046,0.536938,0.438264,0.665516,-0.018788,0.063647,0.743428
1677114403,600857020,0.406996,0.536899,0.436262,0.665337,-0.019739,0.064138,0.743521
1677114403,611246877,0.406849,0.537025,0.434211,0.665660,-0.019736,0.063629,0.743275
1677114403,622009932,0.406992,0.537296,0.432111,0.666160,-0.020337,0.063663,0.742808
1677114403,632292805,0.407116,0.537548,0.429957,0.666585,-0.019880,0.063307,0.742470
1677114403,642059679,0.407449,0.537566,0.427787,0.666383,-0.019051,0.063013,0.742697
1677114403,651640437,0.407683,0.537791,0.425621,0.667589,-0.016951,0.061637,0.741781
1677114403,661644835,0.408167,0.537867,0.423512,0.668574,-0.014645,0.061305,0.740970
1677114403,671133683,0.408581,0.537795,0.421383,0.669490,-0.011881,0.059793,0.740316
1677114403,681543870,0.409073,0.537729,0.419235,0.670653,-0.009108,0.058321,0.739418
1677114403,691670563,0.409923,0.537696,0.417050,0.671828,-0.008837,0.055901,0.738542
1677114403,702143883,0.410488,0.537608,0.414812,0.672704,-0.006674,0.053932,0.737913
1677114403,712252219,0.411043,0.537696,0.412574,0.674317,-0.005049,0.051956,0.736595
1677114403,722205357,0.411581,0.537665,0.410310,0.675286,-0.003860,0.049496,0.735883
1677114403,731379926,0.412151,0.537663,0.408017,0.676065,-0.002899,0.047577,0.735298
1677114403,741088306,0.412640,0.537699,0.405686,0.676693,-0.001883,0.045911,0.734830
1677114403,751381521,0.412904,0.537759,0.403328,0.677025,0.000409,0.044321,0.734625
1677114403,761741021,0.413201,0.538054,0.400978,0.678092,0.002057,0.043207,0.733703
1677114403,771293102,0.413586,0.538113,0.398604,0.678005,0.003107,0.042837,0.733802
1677114403,781185723,0.413698,0.538193,0.396232,0.677981,0.004790,0.042127,0.733856
1677114403,791704521,0.413940,0.538571,0.393849,0.679191,0.005186,0.041922,0.732745
1677114403,800923839,0.414015,0.538639,0.391491,0.679406,0.006126,0.041891,0.732540
1677114403,811142893,0.414027,0.538703,0.389105,0.679586,0.007035,0.041500,0.732388
