secs,nsecs,tx,ty,tz,rx,ry,rz,rw
1677114081,53160665,0.261858,0.638865,0.577715,0.462326,-0.120027,-0.338059,0.810903
1677114081,63615800,0.262289,0.639432,0.577424,0.461660,-0.118820,-0.338527,0.811265
1677114081,73227209,0.262644,0.640132,0.577148,0.460753,-0.117283,-0.339571,0.811568
1677114081,83461901,0.263195,0.640838,0.576846,0.460146,-0.116785,-0.339845,0.811870
1677114081,94114679,0.263511,0.641667,0.576686,0.459086,-0.115589,-0.341368,0.812002
1677114081,104358860,0.263970,0.642422,0.576559,0.458398,-0.115517,-0.341646,0.812284
1677114081,113586243,0.264375,0.643374,0.576429,0.458645,-0.115702,-0.342439,0.811784
1677114081,122891080,0.264674,0.644157,0.576425,0.458033,-0.115807,-0.342755,0.811981
1677114081,132846077,0.264947,0.645139,0.576462,0.457774,-0.116276,-0.343539,0.811729
1677114081,143135436,0.265126,0.646084,0.576500,0.457110,-0.116633,-0.344048,0.811836
1677114081,153477767,0.265394,0.647271,0.576460,0.457179,-0.117160,-0.344099,0.811700
1677114081,163365562,0.265477,0.648387,0.576496,0.456125,-0.116343,-0.343761,0.812553
1677114081,173885898,0.265524,0.649776,0.576406,0.455669,-0.115651,-0.343331,0.813090
1677114081,184160464,0.265540,0.651349,0.576203,0.455775,-0.114161,-0.342417,0.813626
1677114081,193624848,0.265540,0.652828,0.576100,0.454798,-0.112811,-0.340604,0.815121
1677114081,203054085,0.265462,0.654444,0.575960,0.453744,-0.111362,-0.338454,0.816801
1677114081,213613000,0.265416,0.656107,0.575766,0.452327,-0.111463,-0.336156,0.818520
1677114081,223957397,0.265183,0.657758,0.575604,0.450316,-0.112440,-0.334101,0.820335
1677114081,233963339,0.264965,0.659370,0.575417,0.447954,-0.114859,-0.332226,0.822053
1677114081,244017761,0.264933,0.660924,0.575175,0.445789,-0.118615,-0.329756,0.823689
1677114081,253153820,0.264728,0.662474,0.574910,0.443877,-0.121375,-0.327986,0.825025
1677114081,263898583,0.264648,0.663726,0.574606,0.441900,-0.124351,-0.326148,0.826371
1677114081,273010119,0.264627,0.664932,0.574305,0.440826,-0.126240,-0.325222,0.827023
1677114081,283341882,0.264672,0.665982,0.573989,0.441100,-0.125314,-0.324288,0.827384
1677114081,294275383,0.264772,0.666951,0.573600,0.442320,-0.123337,-0.324237,0.827050
1677114081,303597992,0.265008,0.667781,0.573217,0.443828,-0.120643,-0.324271,0.826626
1677114081,313343160,0.265401,0.668537,0.572708,0.445399,-0.118500,-0.324660,0.825938
1677114081,323194570,0.265742,0.669350,0.572159,0.446739,-0.117109,-0.326325,0.824755
1677114081,333186532,0.266141,0.669928,0.571638,0.447093,-0.116263,-0.327463,0.824232
1677114081,343609643,0.266593,0.670555,0.571008,0.447632,-0.117041,-0.329031,0.823204
1677114081,353905655,0.267007,0.670681,0.570431,0.445654,-0.119059,-0.330558,0.823377
1677114081,363766290,0.267430,0.671156,0.569765,0.445902,-0.120089,-0.331388,0.822759
1677114081,373536406,0.267788,0.671666,0.569089,0.446065,-0.121339,-0.332355,0.822096
1677114081,384225403,0.268299,0.672190,0.568286,0.446796,-0.123227,-0.332432,0.821387
1677114081,393348832,0.268387,0.672618,0.567630,0.445802,-0.123585,-0.333982,0.821245
1677114081,402932887,0.268977,0.673378,0.566609,0.447612,-0.124176,-0.333887,0.820209
1677114081,414136726,0.269267,0.673865,0.565770,0.447365,-0.123503,-0.334615,0.820149
1677114081,424092438,0.269664,0.674487,0.564707,0.448162,-0.122148,-0.334619,0.819915
1677114081,433884341,0.269901,0.675138,0.563643,0.448897,-0.120987,-0.335440,0.819349
1677114081,443317189,0.270239,0.675734,0.562503,0.449575,-0.120552,-0.335917,0.818846
1677114081,453012460,0.270647,0.676246,0.561320,0.450150,-0.120799,-0.335832,0.818528
1677114081,465026874,0.271039,0.676797,0.560082,0.450709,-0.121093,-0.335592,0.818276
1677114081,473036898,0.271236,0.677462,0.558783,0.451011,-0.120919,-0.335799,0.818051
1677114081,483180816,0.271604,0.678315,0.557265,0.452212,-0.120906,-0.335148,0.817656
1677114081,492990716,0.271786,0.679184,0.555718,0.452044,-0.120905,-0.334986,0.817816
1677114081,503793276,0.272047,0.680057,0.554098,0.451809,-0.119947,-0.333731,0.818599
1677114081,513171873,0.272195,0.681094,0.552360,0.451565,-0.119225,-0.333348,0.818996
1677114081,523169063,0.272421,0.682034,0.550605,0.451305,-0.118413,-0.332081,0.819771
1677114081,533327576,0.272557,0.682950,0.548871,0.451031,-0.117423,-0.330891,0.820545
1677114081,543281004,0.272646,0.683865,0.547120,0.451123,-0.117132,-0.330179,0.820823
1677114081,553898090,0.272884,0.684690,0.545356,0.451670,-0.117544,-0.328972,0.820948
1677114081,563426472,0.273009,0.685484,0.543659,0.452230,-0.118183,-0.328432,0.820764
1677114081,573624012,0.273068,0.686180,0.542001,0.452575,-0.118462,-0.328162,0.820642
1677114081,583434262,0.273171,0.686799,0.540353,0.453131,-0.118755,-0.327596,0.820518
1677114081,594058128,0.273480,0.687441,0.538562,0.454470,-0.120233,-0.326761,0.819895
1677114081,603825187,0.273489,0.687941,0.536849,0.454838,-0.120587,-0.326986,0.819549
1677114081,613982407,0.273620,0.688461,0.535054,0.455472,-0.121057,-0.326581,0.819290
1677114081,623257820,0.273719,0.688897,0.533197,0.455395,-0.120386,-0.326162,0.819598
1677114081,633561575,0.273949,0.689674,0.531177,0.456701,-0.119590,-0.326112,0.819007
1677114081,643770795,0.274207,0.690288,0.529149,0.456991,-0.118711,-0.325834,0.819085
1677114081,653444932,0.274300,0.691018,0.527104,0.457417,-0.117031,-0.326577,0.818792
1677114081,663527894,0.274596,0.691686,0.525035,0.458243,-0.115797,-0.326066,0.818709
1677114081,673569719,0.274936,0.692307,0.522906,0.458958,-0.115706,-0.325794,0.818430
1677114081,683467982,0.275102,0.692838,0.520814,0.459213,-0.114556,-0.325553,0.818545
1677114081,693122611,0.275152,0.693467,0.518719,0.459246,-0.113285,-0.326684,0.818252
1677114081,703591437,0.275485,0.693865,0.516591,0.459025,-0.112648,-0.326565,0.818512
1677114081,713575879,0.275830,0.694317,0.514427,0.459081,-0.112484,-0.327582,0.818097
1677114081,723204836,0.276285,0.694679,0.512262,0.459185,-0.112917,-0.329011,0.817405
1677114081,733029189,0.276845,0.694819,0.510162,0.459218,-0.113004,-0.330136,0.816920
1677114081,743514356,0.277279,0.694983,0.508073,0.459535,-0.113142,-0.332712,0.815677
1677114081,753727389,0.277846,0.694963,0.506038,0.459445,-0.113192,-0.334569,0.814961
1677114081,763866216,0.278307,0.695120,0.503970,0.459820,-0.112408,-0.337062,0.813830
1677114081,773586486,0.278914,0.695223,0.501887,0.459730,-0.112414,-0.338610,0.813237
1677114081,783924090,0.279251,0.695363,0.499836,0.458686,-0.112722,-0.340966,0.812799
1677114081,793072400,0.279742,0.695645,0.497601,0.458486,-0.114686,-0.342374,0.812046
1677114081,803410714,0.280114,0.695807,0.495391,0.457419,-0.116807,-0.343143,0.812020
1677114081,813739821,0.280304,0.696221,0.493180,0.456660,-0.118141,-0.344291,0.811768
1677114081,823448925,0.280622,0.696501,0.490961,0.455240,-0.119170,-0.344061,0.812513
1677114081,833455051,0.280894,0.696990,0.488700,0.453689,-0.120984,-0.344890,0.812760
1677114081,843258334,0.281323,0.697394,0.486416,0.451907,-0.123745,-0.345045,0.813272
1677114081,853532118,0.281738,0.697700,0.484248,0.449424,-0.126540,-0.345272,0.814121
1677114081,863397549,0.282131,0.698153,0.482058,0.447946,-0.129452,-0.346238,0.814067
1677114081,872807905,0.282436,0.698562,0.479974,0.446971,-0.130937,-0.346929,0.814072
1677114081,883191903,0.282745,0.698850,0.478023,0.446416,-0.131792,-0.346610,0.814374
1677114081,893523662,0.282865,0.699128,0.476124,0.446292,-0.132137,-0.346699,0.814348
1677114081,903590395,0.282919,0.699572,0.474210,0.446678,-0.133122,-0.346933,0.813876
1677114081,913245344,0.283115,0.699956,0.472234,0.447122,-0.134878,-0.346167,0.813669
1677114081,923261885,0.283218,0.700406,0.470279,0.446877,-0.136521,-0.345703,0.813728
1677114081,933158664,0.283340,0.700808,0.468244,0.445576,-0.138642,-0.345173,0.814307
1677114081,943377881,0.283617,0.701319,0.466116,0.444267,-0.141170,-0.344333,0.814943
1677114081,953184516,0.284025,0.701885,0.463851,0.442854,-0.144076,-0.343476,0.815566
1677114081,963380887,0.284354,0.702366,0.461590,0.440882,-0.146046,-0.343115,0.816435
1677114081,973422715,0.284583,0.702823,0.459373,0.439193,-0.147583,-0.343622,0.816856
1677114081,983314115,0.284953,0.703179,0.457150,0.438563,-0.148827,-0.343961,0.816826
1677114081,992892688,0.285503,0.703486,0.454906,0.439503,-0.150197,-0.344010,0.816048
1677114082,3182180,0.285963,0.703526,0.452747,0.440160,-0.150330,-0.344395,0.815507
1677114082,13002826,0.286478,0.703469,0.450551,0.440802,-0.150679,-0.345572,0.814598
1677114082,23271104,0.287234,0.703497,0.448167,0.442131,-0.151005,-0.346473,0.813433
1677114082,33393500,0.287950,0.703462,0.445767,0.442014,-0.150983,-0.348325,0.812710
1677114082,43528008,0.288876,0.703601,0.443109,0.441717,-0.152244,-0.350960,0.811502
1677114082,52779337,0.289847,0.703403,0.440480,0.439684,-0.152536,-0.352845,0.811733
1677114082,63857556,0.290988,0.703438,0.437670,0.438550,-0.153987,-0.355738,0.810810
1677114082,72931665,0.292133,0.703333,0.434960,0.437391,-0.155253,-0.358463,0.809994
1677114082,82939964,0.293111,0.703217,0.432318,0.436659,-0.155845,-0.361868,0.808760
1677114082,93263197,0.294062,0.703087,0.429732,0.437084,-0.156135,-0.364817,0.807148
1677114082,103438544,0.294858,0.702834,0.427205,0.437451,-0.156240,-0.367588,0.805670
1677114082,113116916,0.295788,0.702658,0.424594,0.438883,-0.157042,-0.369470,0.803873
1677114082,123287192,0.296304,0.702568,0.422123,0.439081,-0.156666,-0.372479,0.802448
1677114082,132951430,0.297111,0.702603,0.419489,0.440105,-0.157524,-0.374489,0.800782
1677114082,142883537,0.297603,0.702593,0.416999,0.439938,-0.156783,-0.376584,0.800037
1677114082,153196923,0.298247,0.702740,0.414330,0.440750,-0.156618,-0.377513,0.799184
1677114082,163310156,0.298790,0.702960,0.411680,0.440878,-0.156661,-0.378784,0.798503
1677114082,172962881,0.299393,0.703167,0.409053,0.440977,-0.157789,-0.379176,0.798039
1677114082,183801305,0.299699,0.703497,0.406497,0.440940,-0.158405,-0.380758,0.797184
1677114082,193217440,0.299998,0.703678,0.404019,0.440921,-0.158875,-0.381406,0.796792
1677114082,203214555,0.300381,0.703862,0.401506,0.442126,-0.159394,-0.381255,0.796092
1677114082,213165798,0.300406,0.704065,0.399102,0.442575,-0.158247,-0.382180,0.795628
1677114082,223513061,0.300567,0.704318,0.396627,0.443683,-0.157396,-0.382548,0.795003
1677114082,233177313,0.300894,0.704576,0.394025,0.445236,-0.156697,-0.382692,0.794202
1677114082,243961935,0.301352,0.704898,0.391335,0.446561,-0.156987,-0.383258,0.793128
1677114082,253088529,0.301591,0.705010,0.388741,0.446379,-0.155989,-0.384527,0.792813
1677114082,263604454,0.302093,0.705215,0.386021,0.446673,-0.156323,-0.385986,0.791871
1677114082,273095960,0.302634,0.705299,0.383298,0.446311,-0.155799,-0.387065,0.791652
1677114082,283928950,0.303459,0.705287,0.380550,0.445671,-0.157503,-0.388017,0.791210
1677114082,293718236,0.304040,0.705404,0.377885,0.445078,-0.157847,-0.390173,0.790415
1677114082,303593687,0.304724,0.705385,0.375250,0.445242,-0.158011,-0.391406,0.789679
1677114082,313398871,0.305357,0.705471,0.372637,0.446458,-0.157262,-0.392470,0.788614
1677114082,323779684,0.305748,0.705490,0.370132,0.446796,-0.155873,-0.394389,0.787740
1677114082,333653798,0.306491,0.705581,0.367509,0.447902,-0.155559,-0.395309,0.786712
1677114082,342921486,0.307167,0.705512,0.364988,0.448372,-0.154448,-0.395563,0.786535
1677114082,353255140,0.307798,0.705617,0.362421,0.449355,-0.153700,-0.396812,0.785491
1677114082,363100405,0.308542,0.705551,0.359913,0.449844,-0.153393,-0.397243,0.785054
1677114082,373919570,0.309095,0.705535,0.357426,0.449866,-0.152916,-0.398542,0.784475
1677114082,383510290,0.309795,0.705564,0.354881,0.450026,-0.152697,-0.399276,0.784053
1677114082,393733452,0.310559,0.705584,0.352276,0.449665,-0.153033,-0.400154,0.783746
1677114082,402925605,0.311691,0.705579,0.349553,0.449910,-0.154976,-0.399914,0.783347
1677114082,413753350,0.311990,0.705390,0.347171,0.447808,-0.153803,-0.402192,0.783616
1677114082,423324724,0.312670,0.705326,0.344675,0.448094,-0.154051,-0.403592,0.782684
1677114082,433757318,0.313278,0.705025,0.342398,0.448629,-0.153932,-0.404820,0.781765
1677114082,443773022,0.313916,0.704500,0.340123,0.449594,-0.153897,-0.405626,0.780800
1677114082,453810329,0.314055,0.703818,0.338225,0.448766,-0.151768,-0.407640,0.780644
1677114082,464508113,0.314971,0.703605,0.335720,0.452239,-0.152614,-0.408561,0.777989
1677114082,473111318,0.315717,0.703153,0.333369,0.453383,-0.152709,-0.409658,0.776727
