secs,nsecs,tx,ty,tz,rx,ry,rz,rw
1677114851,317961526,0.278733,0.578408,0.536271,0.464456,-0.205771,-0.193654,0.839307
1677114851,328522440,0.278563,0.578882,0.536038,0.463911,-0.206561,-0.193614,0.839424
1677114851,338202316,0.278512,0.579341,0.535808,0.463250,-0.207423,-0.192753,0.839775
1677114851,348004359,0.278403,0.579856,0.535560,0.462595,-0.208685,-0.192487,0.839884
1677114851,358145486,0.278330,0.580325,0.535367,0.461885,-0.209029,-0.191415,0.840434
1677114851,368149558,0.278098,0.580708,0.535185,0.460828,-0.208909,-0.191066,0.841123
1677114851,378704701,0.277966,0.581182,0.534994,0.460570,-0.209562,-0.190824,0.841157
1677114851,388666127,0.277979,0.581646,0.534764,0.460705,-0.210448,-0.190058,0.841035
1677114851,398570594,0.277765,0.581902,0.534674,0.459846,-0.210506,-0.189793,0.841551
1677114851,407973427,0.277833,0.582274,0.534429,0.460071,-0.211326,-0.188864,0.841431
1677114851,417827574,0.277676,0.582579,0.534207,0.459788,-0.211760,-0.188858,0.841478
1677114851,428317369,0.277513,0.582734,0.533996,0.459241,-0.212320,-0.188779,0.841654
1677114851,438590587,0.277518,0.582947,0.533707,0.459458,-0.213343,-0.188378,0.841366
1677114851,448947026,0.277503,0.582980,0.533413,0.459107,-0.213802,-0.188105,0.841502
1677114851,457839135,0.277664,0.583095,0.532995,0.459553,-0.214981,-0.188097,0.840960
1677114851,468223200,0.277845,0.583167,0.532537,0.459712,-0.215096,-0.188237,0.840813
1677114851,477766038,0.277958,0.583277,0.531945,0.460060,-0.214637,-0.189184,0.840527
1677114851,487854242,0.278294,0.583394,0.531282,0.460500,-0.215099,-0.189823,0.840024
1677114851,498536153,0.278536,0.583480,0.530527,0.460550,-0.214743,-0.190881,0.839847
1677114851,508816071,0.278795,0.583762,0.529622,0.461085,-0.214546,-0.192668,0.839196
1677114851,518740296,0.279470,0.583397,0.528747,0.458440,-0.217569,-0.193314,0.839718
1677114851,529112355,0.279886,0.583400,0.527728,0.457431,-0.218388,-0.194783,0.839716
1677114851,538302149,0.280393,0.583465,0.526580,0.456631,-0.219118,-0.196199,0.839632
