secs,nsecs,tx,ty,tz,rx,ry,rz,rw
1677114358,653498286,0.352414,0.556612,0.511776,0.459693,-0.125488,-0.086537,0.874898
1677114358,663877180,0.352822,0.556725,0.511551,0.459261,-0.125464,-0.086142,0.875167
1677114358,673850444,0.353332,0.557017,0.511173,0.459916,-0.125807,-0.085691,0.874818
1677114358,683232163,0.353826,0.557245,0.510820,0.459873,-0.125929,-0.085097,0.874881
1677114358,693884772,0.354498,0.557581,0.510322,0.460396,-0.126015,-0.084035,0.874697
1677114358,704229230,0.354839,0.557808,0.509861,0.459701,-0.125090,-0.084487,0.875151
1677114358,713736921,0.355441,0.558102,0.509324,0.459546,-0.124773,-0.083832,0.875341
1677114358,724138652,0.355856,0.558310,0.508767,0.458857,-0.123973,-0.084128,0.875787
1677114358,733653029,0.356523,0.558688,0.508109,0.459445,-0.124065,-0.083535,0.875523
1677114358,743516146,0.357078,0.558986,0.507436,0.459955,-0.123219,-0.083247,0.875402
1677114358,753485383,0.357490,0.559130,0.506820,0.459589,-0.122803,-0.083930,0.875587
1677114358,763825570,0.358035,0.559314,0.506082,0.459836,-0.122335,-0.083674,0.875547
1677114358,773890494,0.358512,0.559506,0.505347,0.460270,-0.121531,-0.083099,0.875486
1677114358,784145276,0.359031,0.559634,0.504540,0.460495,-0.121397,-0.082455,0.875447
1677114358,794135002,0.359514,0.559891,0.503569,0.461195,-0.121281,-0.082198,0.875119
1677114358,803798453,0.359869,0.560154,0.502579,0.461184,-0.120690,-0.081928,0.875232
1677114358,813329779,0.360455,0.560469,0.501460,0.461350,-0.120767,-0.080869,0.875232
1677114358,823835865,0.360865,0.560680,0.500390,0.460430,-0.121025,-0.080914,0.875677
1677114358,834268406,0.361361,0.561015,0.499189,0.460381,-0.120243,-0.079864,0.875907
1677114358,844645611,0.361818,0.561366,0.497978,0.460154,-0.119873,-0.079369,0.876122
1677114358,853412211,0.362298,0.561573,0.496762,0.459518,-0.119613,-0.078844,0.876538
1677114358,864394545,0.362778,0.561774,0.495548,0.458856,-0.119209,-0.078415,0.876979
1677114358,874135822,0.363294,0.562124,0.494237,0.459385,-0.118850,-0.078045,0.876783
1677114358,883556254,0.363805,0.562352,0.492960,0.459721,-0.118750,-0.077897,0.876634
1677114358,894358375,0.364234,0.562428,0.491716,0.459728,-0.118391,-0.077955,0.876674
1677114358,904674254,0.364681,0.562443,0.490523,0.459874,-0.118123,-0.077891,0.876639
1677114358,914546517,0.365276,0.562589,0.489220,0.461324,-0.118519,-0.077414,0.875866
1677114358,924808565,0.365738,0.562633,0.487979,0.462321,-0.118690,-0.077457,0.875313
1677114358,934828524,0.366174,0.562472,0.486818,0.462361,-0.118802,-0.077170,0.875302
