secs,nsecs,tx,ty,tz,rx,ry,rz,rw
1677108172,573835577,0.431737,0.548655,0.519099,0.525887,-0.078606,0.166299,0.830427
1677108172,584376004,0.431659,0.548760,0.519035,0.525637,-0.078551,0.166467,0.830557
1677108172,594035727,0.431628,0.548925,0.518953,0.525533,-0.078435,0.167038,0.830519
1677108172,604492681,0.431679,0.549182,0.518883,0.525782,-0.079105,0.167364,0.830232
1677108172,614023935,0.431550,0.549318,0.518796,0.525274,-0.078084,0.167490,0.830625
1677108172,624188489,0.431719,0.551128,0.517953,0.532057,-0.075158,0.169340,0.826190
1677108172,634176096,0.431609,0.550955,0.518090,0.530299,-0.075879,0.168509,0.827424
1677108172,643985461,0.431659,0.551188,0.518061,0.530002,-0.075603,0.168909,0.827558
1677108172,654487916,0.431779,0.551624,0.517932,0.530607,-0.074442,0.169968,0.827058
1677108172,664047908,0.431653,0.551876,0.517856,0.530884,-0.074118,0.169694,0.826966
1677108172,674647272,0.431690,0.551912,0.517898,0.530013,-0.074967,0.169658,0.827455
1677108172,684064130,0.431616,0.552068,0.517880,0.529552,-0.074406,0.170403,0.827648
1677108172,693816502,0.431584,0.552248,0.517836,0.529554,-0.074460,0.170767,0.827567
1677108172,704436927,0.431460,0.552412,0.517811,0.529861,-0.074119,0.171036,0.827346
1677108172,714938131,0.431367,0.552499,0.517856,0.529975,-0.074113,0.171205,0.827238
1677108172,724229904,0.431355,0.552571,0.517919,0.530745,-0.074514,0.171438,0.826660
1677108172,734103809,0.431287,0.552476,0.518058,0.531161,-0.074193,0.172063,0.826291
1677108172,743443072,0.431216,0.552432,0.518131,0.531961,-0.074398,0.171804,0.825812
1677108172,754125499,0.431025,0.550457,0.519250,0.524145,-0.078826,0.170019,0.830754
1677108172,764424378,0.430940,0.550348,0.519383,0.524446,-0.078458,0.170395,0.830522
1677108172,774831241,0.430937,0.550322,0.519452,0.524761,-0.078899,0.170432,0.830273
1677108172,784212042,0.430856,0.550335,0.519493,0.524689,-0.078595,0.170468,0.830340
1677108172,794602727,0.430798,0.550472,0.519502,0.524888,-0.078398,0.170605,0.830205
1677108172,804473712,0.430791,0.550528,0.519560,0.524571,-0.078574,0.170924,0.830323
1677108172,814632274,0.430780,0.550489,0.519611,0.524107,-0.078942,0.170754,0.830616
1677108172,824889777,0.430799,0.550586,0.519611,0.524368,-0.078987,0.171115,0.830373
1677108172,834115127,0.430786,0.550648,0.519626,0.524499,-0.078840,0.171534,0.830217
1677108172,844876136,0.430741,0.550699,0.519650,0.524437,-0.078542,0.171979,0.830193
1677108172,854109117,0.430714,0.550777,0.519691,0.524517,-0.078818,0.172138,0.830083
1677108172,864027801,0.430671,0.550895,0.519666,0.524488,-0.078690,0.172435,0.830052
1677108172,874499053,0.430713,0.550978,0.519701,0.524211,-0.079520,0.172619,0.830110
1677108172,884471366,0.430540,0.551028,0.519653,0.523792,-0.078591,0.172602,0.830466
1677108172,894306167,0.430496,0.551254,0.519552,0.524028,-0.078328,0.172723,0.830317
1677108172,904375429,0.430479,0.551283,0.519534,0.523453,-0.078125,0.172581,0.830728
1677108172,913952245,0.430556,0.551306,0.519560,0.522962,-0.078302,0.172780,0.830979
1677108172,924273470,0.430561,0.551423,0.519526,0.523146,-0.077702,0.172856,0.830904
1677108172,933880608,0.430694,0.551331,0.519588,0.522475,-0.078155,0.173128,0.831227
1677108172,944747570,0.430811,0.551575,0.519508,0.523244,-0.078026,0.173583,0.830660
1677108172,954528138,0.430846,0.551704,0.519388,0.523554,-0.077718,0.173664,0.830477
1677108172,963809859,0.430924,0.551741,0.519298,0.523141,-0.077617,0.173859,0.830706
1677108172,974594372,0.431024,0.551836,0.519192,0.523084,-0.077575,0.174027,0.830710
1677108172,984233940,0.431102,0.551857,0.519051,0.522870,-0.077779,0.173820,0.830870
1677108172,993528929,0.431093,0.551862,0.518868,0.522885,-0.077393,0.173539,0.830955
1677108173,4174754,0.431273,0.552794,0.518186,0.526934,-0.075315,0.174816,0.828316
1677108173,14235572,0.431458,0.552762,0.517983,0.526808,-0.075912,0.175003,0.828302
1677108173,24172282,0.431522,0.553455,0.517261,0.529939,-0.074635,0.175246,0.826367
1677108173,34535164,0.431648,0.553295,0.516998,0.529132,-0.075390,0.175382,0.826787
1677108173,44403094,0.431691,0.553155,0.516691,0.528641,-0.075895,0.175313,0.827070
1677108173,54705851,0.431761,0.552818,0.516392,0.527155,-0.076783,0.175292,0.827940
1677108173,64318278,0.431839,0.552512,0.516030,0.525870,-0.077301,0.175580,0.828648
1677108173,74558873,0.431915,0.552336,0.515564,0.525749,-0.078155,0.175753,0.828608
1677108173,84147553,0.431831,0.552008,0.515033,0.525303,-0.077775,0.175525,0.828974
