secs,nsecs,tx,ty,tz,rx,ry,rz,rw
1677108139,843855001,0.263564,0.562684,0.569953,0.421134,-0.187965,0.021069,0.887058
1677108139,853886473,0.263750,0.562668,0.569927,0.421357,-0.188017,0.021237,0.886937
1677108139,864257177,0.263830,0.562622,0.569911,0.420907,-0.188075,0.020892,0.887146
1677108139,874508483,0.263993,0.562738,0.569838,0.420928,-0.188104,0.021027,0.887127
1677108139,884495096,0.264154,0.562864,0.569762,0.420654,-0.187944,0.021084,0.887290
1677108139,894761529,0.264350,0.562998,0.569753,0.420150,-0.187712,0.021316,0.887572
1677108139,905026503,0.264432,0.563226,0.569665,0.420237,-0.187399,0.020664,0.887612
1677108139,915056999,0.264672,0.563417,0.569687,0.420013,-0.187459,0.020885,0.887701
1677108139,924875976,0.264867,0.563694,0.569670,0.420103,-0.187387,0.020950,0.887671
1677108139,934461751,0.264869,0.563847,0.569666,0.419601,-0.186998,0.020086,0.888011
1677108139,944878532,0.264993,0.564189,0.569605,0.419907,-0.186064,0.020441,0.888054
1677108139,954817473,0.265100,0.564464,0.569604,0.419373,-0.185249,0.020674,0.888471
1677108139,964318558,0.265167,0.564741,0.569556,0.418783,-0.184825,0.020468,0.888843
1677108139,974610208,0.265366,0.565099,0.569522,0.418280,-0.184509,0.021201,0.889128
1677108139,984251075,0.265538,0.565506,0.569429,0.417987,-0.183712,0.021995,0.889412
1677108139,994171407,0.265595,0.565864,0.569362,0.417350,-0.182513,0.022335,0.889949
1677108140,4216914,0.265711,0.566194,0.569309,0.416984,-0.181700,0.022746,0.890277
1677108140,14367923,0.265867,0.566467,0.569349,0.416264,-0.180890,0.023551,0.890757
1677108140,24595716,0.265886,0.566783,0.569276,0.416332,-0.179517,0.023655,0.891000
1677108140,34293543,0.266012,0.567041,0.569268,0.416371,-0.178548,0.024191,0.891163
1677108140,43624573,0.266154,0.567237,0.569321,0.416402,-0.177936,0.024681,0.891257
1677108140,54099601,0.266244,0.567460,0.569408,0.416861,-0.177734,0.024686,0.891083
1677108140,64875065,0.266429,0.567682,0.569475,0.417560,-0.177394,0.025084,0.890812
1677108140,74877458,0.266558,0.567818,0.569611,0.417763,-0.176708,0.025488,0.890842
1677108140,84866172,0.266641,0.567964,0.569760,0.417983,-0.176500,0.025311,0.890785
1677108140,95020823,0.266767,0.568129,0.569911,0.418211,-0.176353,0.025417,0.890704
1677108140,104964715,0.266872,0.568280,0.570046,0.418579,-0.176589,0.025137,0.890492
