secs,nsecs,tx,ty,tz,rx,ry,rz,rw
1677109501,239471607,0.294793,0.545140,0.501974,0.546955,-0.163151,-0.210437,0.793687
1677109501,249223327,0.294799,0.545347,0.502086,0.547029,-0.163401,-0.210376,0.793601
1677109501,259388376,0.294813,0.545672,0.502171,0.547478,-0.164037,-0.209722,0.793332
1677109501,269600253,0.294743,0.545882,0.502203,0.547020,-0.164665,-0.209107,0.793681
1677109501,279454603,0.294745,0.546079,0.502235,0.546171,-0.165214,-0.207542,0.794561
1677109501,290117966,0.294662,0.546459,0.502178,0.545884,-0.165232,-0.206693,0.794977
1677109501,299696071,0.294759,0.546869,0.502060,0.545987,-0.165740,-0.205358,0.795146
1677109501,309784902,0.294714,0.547232,0.501923,0.545589,-0.165999,-0.205213,0.795402
1677109501,320009992,0.294977,0.547548,0.501727,0.545575,-0.166930,-0.204168,0.795486
1677109501,329710045,0.295135,0.547820,0.501488,0.545584,-0.166841,-0.203946,0.795556
1677109501,339972782,0.295320,0.547940,0.501194,0.545021,-0.166694,-0.204161,0.795917
1677109501,349080457,0.295656,0.548122,0.500840,0.545118,-0.166624,-0.204487,0.795781
1677109501,359309610,0.296019,0.548190,0.500456,0.544890,-0.166095,-0.205293,0.795841
1677109501,369374126,0.296735,0.548296,0.499985,0.545429,-0.166215,-0.205282,0.795449
1677109501,379324724,0.297208,0.548490,0.499467,0.546251,-0.164837,-0.206530,0.794848
1677109501,390004546,0.297860,0.548500,0.498922,0.546402,-0.164213,-0.207305,0.794672
1677109501,399949039,0.298525,0.548474,0.498341,0.546422,-0.163170,-0.208152,0.794651
1677109501,409487115,0.299100,0.548599,0.497660,0.546690,-0.161997,-0.209667,0.794309
1677109501,420159678,0.299865,0.548722,0.496944,0.547000,-0.161214,-0.210200,0.794114
1677109501,430118986,0.300384,0.548944,0.496209,0.546963,-0.159700,-0.211521,0.794094
1677109501,440207440,0.301016,0.549100,0.495453,0.546713,-0.159098,-0.212337,0.794170
1677109501,450159446,0.301670,0.549250,0.494732,0.546784,-0.158712,-0.212383,0.794186
1677109501,460305473,0.301961,0.549448,0.493981,0.546650,-0.157741,-0.213665,0.794128
1677109501,469695443,0.302513,0.549721,0.493257,0.547486,-0.158407,-0.213690,0.793412
1677109501,479938484,0.302756,0.549855,0.492541,0.547764,-0.158121,-0.213742,0.793263
1677109501,489968283,0.302913,0.549989,0.491841,0.547924,-0.158288,-0.213978,0.793056
1677109501,499685610,0.303153,0.550118,0.491108,0.548117,-0.158867,-0.213373,0.792969
1677109501,510066359,0.303309,0.550359,0.490337,0.548934,-0.158850,-0.212819,0.792557
1677109501,519877003,0.303419,0.550491,0.489633,0.549078,-0.159427,-0.212629,0.792392
1677109501,529924004,0.303566,0.550716,0.488835,0.550282,-0.159378,-0.211967,0.791744
1677109501,540182601,0.303524,0.550689,0.488150,0.550256,-0.159463,-0.212310,0.791653
1677109501,550590748,0.303704,0.550734,0.487417,0.550909,-0.160283,-0.212035,0.791107
1677109501,560052741,0.303754,0.550657,0.486679,0.551077,-0.160625,-0.212363,0.790832
1677109501,569728218,0.303941,0.550674,0.485926,0.551970,-0.161115,-0.212080,0.790185
1677109501,579951191,0.304050,0.550543,0.485168,0.552023,-0.161676,-0.212624,0.789888
1677109501,590257254,0.304136,0.550465,0.484353,0.552354,-0.161826,-0.212934,0.789542
1677109501,600137686,0.304293,0.550324,0.483546,0.552587,-0.162155,-0.212767,0.789356
1677109501,610099620,0.304430,0.550213,0.482679,0.552851,-0.162592,-0.212920,0.789040
1677109501,619987306,0.304625,0.549997,0.481865,0.552778,-0.163079,-0.212144,0.789200
1677109501,629984391,0.304735,0.549931,0.480993,0.553155,-0.163380,-0.211944,0.788927
1677109501,640283000,0.304791,0.549911,0.480111,0.553586,-0.163722,-0.211830,0.788585
1677109501,649973539,0.304915,0.549715,0.479244,0.553229,-0.164235,-0.210921,0.788972
1677109501,659843221,0.304901,0.549652,0.478332,0.553209,-0.164714,-0.210838,0.788909
1677109501,669988440,0.304963,0.549737,0.477395,0.553939,-0.165155,-0.210013,0.788524
1677109501,680295622,0.304913,0.549611,0.476391,0.553495,-0.164485,-0.208711,0.789321
1677109501,689880887,0.305045,0.549645,0.475380,0.553652,-0.165666,-0.207367,0.789318
