secs,nsecs,tx,ty,tz,rx,ry,rz,rw
1677105683,990916228,0.339796,0.543884,0.475291,0.494138,-0.146110,-0.220056,0.828284
1677105684,1005137,0.340325,0.544134,0.475117,0.494686,-0.146613,-0.220638,0.827713
1677105684,10599144,0.340978,0.544235,0.474890,0.495361,-0.145605,-0.219962,0.827667
1677105684,21590800,0.341418,0.544324,0.474737,0.495822,-0.144784,-0.220519,0.827387
1677105684,30937007,0.341891,0.544208,0.474616,0.495139,-0.144543,-0.221217,0.827652
1677105684,40786261,0.342305,0.544281,0.474368,0.495142,-0.143598,-0.221908,0.827630
1677105684,50698516,0.343087,0.543899,0.474116,0.492705,-0.145267,-0.221805,0.828820
1677105684,60984646,0.343644,0.544131,0.473754,0.493083,-0.144018,-0.221418,0.828916
1677105684,70656519,0.343949,0.544457,0.473363,0.493505,-0.142342,-0.222332,0.828710
1677105684,80761205,0.344439,0.544684,0.472982,0.493606,-0.141608,-0.222220,0.828805
1677105684,90619338,0.344844,0.544844,0.472607,0.493426,-0.140843,-0.222131,0.829067
1677105684,101099868,0.345284,0.545154,0.472169,0.494081,-0.140886,-0.222216,0.828646
1677105684,110923095,0.345702,0.545330,0.471754,0.494111,-0.141032,-0.222036,0.828652
1677105684,120898471,0.345973,0.545520,0.471361,0.493866,-0.140985,-0.222435,0.828699
1677105684,130639238,0.346316,0.545691,0.470925,0.493801,-0.141027,-0.222022,0.828841
1677105684,140514801,0.346676,0.546027,0.470409,0.494849,-0.141208,-0.221854,0.828231
1677105684,151086536,0.346995,0.546166,0.469969,0.495099,-0.141895,-0.221583,0.828036
1677105684,160545208,0.347145,0.546158,0.469576,0.494739,-0.141405,-0.221028,0.828483
1677105684,170830885,0.347345,0.546266,0.469088,0.495203,-0.142194,-0.220846,0.828120
1677105684,180720194,0.347569,0.546405,0.468529,0.495861,-0.142921,-0.220165,0.827782
1677105684,190854499,0.347797,0.546480,0.467841,0.496148,-0.144031,-0.219182,0.827678
1677105684,201129127,0.348080,0.546586,0.466994,0.496237,-0.145241,-0.218033,0.827717
1677105684,210900936,0.348290,0.546697,0.466040,0.495563,-0.146578,-0.217466,0.828034
