secs,nsecs,tx,ty,tz,rx,ry,rz,rw
1677106212,593747134,0.295408,0.528748,0.560342,0.426405,-0.162907,-0.326563,0.827645
1677106212,604036450,0.295532,0.529222,0.560140,0.426285,-0.162447,-0.324753,0.828509
1677106212,613662772,0.295916,0.529692,0.559830,0.426245,-0.163380,-0.322871,0.829082
1677106212,624206983,0.296070,0.530246,0.559509,0.425848,-0.162772,-0.322278,0.829636
1677106212,633940295,0.296450,0.530784,0.559063,0.426306,-0.161026,-0.321411,0.830077
1677106212,644328632,0.296765,0.531112,0.558819,0.425734,-0.159916,-0.321249,0.830648
1677106212,653875089,0.297221,0.531452,0.558524,0.426355,-0.159222,-0.321334,0.830430
1677106212,664075708,0.297735,0.531585,0.558340,0.426272,-0.159037,-0.321487,0.830449
1677106212,674298343,0.298282,0.531530,0.558188,0.424166,-0.161252,-0.323354,0.830376
1677106212,684293997,0.298606,0.531656,0.558072,0.423815,-0.160876,-0.324320,0.830251
1677106212,693861965,0.298969,0.531774,0.557998,0.423213,-0.160403,-0.324389,0.830622
1677106212,704448762,0.299358,0.532047,0.557828,0.423431,-0.160056,-0.324107,0.830688
1677106212,714380044,0.299624,0.532355,0.557658,0.423326,-0.159468,-0.323651,0.831033
1677106212,724197542,0.299926,0.532810,0.557423,0.423570,-0.158995,-0.322943,0.831274
1677106212,734015249,0.300267,0.533138,0.557254,0.423025,-0.159141,-0.321848,0.831948
1677106212,744424333,0.300525,0.533622,0.557010,0.423192,-0.158972,-0.321405,0.832067
1677106212,753960215,0.300752,0.533828,0.556893,0.422189,-0.158516,-0.320692,0.832938
1677106212,763936180,0.301161,0.534202,0.556629,0.423228,-0.159037,-0.319986,0.832583
1677106212,774483421,0.301445,0.534262,0.556546,0.422627,-0.159348,-0.319810,0.832896
1677106212,784435818,0.301817,0.534410,0.556385,0.423221,-0.159679,-0.319490,0.832654
1677106212,793901718,0.302142,0.534558,0.556173,0.423641,-0.159729,-0.320009,0.832232
1677106212,804540738,0.302566,0.534674,0.555888,0.423963,-0.159786,-0.320157,0.832000
1677106212,814021127,0.303133,0.534803,0.555467,0.424170,-0.159572,-0.319796,0.832074
1677106212,824081135,0.303444,0.534975,0.555077,0.423051,-0.158442,-0.321004,0.832394
1677106212,834007203,0.304167,0.535282,0.554447,0.423751,-0.158038,-0.320205,0.832423
1677106212,844039328,0.304651,0.535423,0.553910,0.423077,-0.157537,-0.320615,0.832702
1677106212,854037376,0.305067,0.535495,0.553456,0.422215,-0.157319,-0.321192,0.832959
1677106212,864823363,0.305614,0.535717,0.552844,0.423490,-0.158307,-0.321849,0.831870
1677106212,874440461,0.306018,0.535703,0.552414,0.423894,-0.158471,-0.322263,0.831473
1677106212,884005790,0.306330,0.535610,0.552017,0.424196,-0.159253,-0.322847,0.830943
1677106212,894104187,0.306665,0.535563,0.551537,0.425166,-0.159736,-0.322674,0.830422
1677106212,904548206,0.306961,0.535539,0.550925,0.426146,-0.160142,-0.322277,0.829995
1677106212,914282024,0.307357,0.535631,0.550089,0.427363,-0.161290,-0.321883,0.829299
1677106212,923709595,0.307639,0.535772,0.549170,0.427886,-0.161162,-0.321533,0.829190
1677106212,934002766,0.307927,0.535727,0.548179,0.427100,-0.161076,-0.320938,0.829842
1677106212,944105711,0.308458,0.535850,0.546948,0.427299,-0.161871,-0.320420,0.829786
1677106212,953740478,0.308885,0.535904,0.545637,0.427431,-0.162639,-0.320355,0.829593
1677106212,964109007,0.309107,0.535753,0.544406,0.427067,-0.162711,-0.320676,0.829642
1677106212,974176889,0.310389,0.535705,0.542628,0.430819,-0.165611,-0.316839,0.828602
1677106212,983894294,0.310631,0.535460,0.541041,0.433189,-0.166953,-0.316128,0.827368
1677106212,994350657,0.310363,0.534922,0.539538,0.433866,-0.168946,-0.317119,0.826228
1677106213,4055510,0.310592,0.534483,0.537565,0.436724,-0.171176,-0.315975,0.824700
1677106213,13924143,0.310992,0.534055,0.535344,0.439981,-0.173428,-0.314318,0.823130
1677106213,23685189,0.311733,0.533702,0.532668,0.444459,-0.176465,-0.311638,0.821096
1677106213,34122095,0.312355,0.533291,0.529809,0.447448,-0.178051,-0.309792,0.819828
1677106213,43776239,0.312945,0.532693,0.526755,0.449327,-0.179138,-0.308381,0.819095
1677106213,53330356,0.313801,0.532486,0.523117,0.453651,-0.178374,-0.307032,0.817383
1677106213,63928946,0.314633,0.531830,0.519447,0.456678,-0.178229,-0.305743,0.816211
1677106213,73953442,0.315498,0.531375,0.515418,0.461490,-0.178608,-0.306144,0.813266
1677106213,84153991,0.316702,0.530470,0.511272,0.466169,-0.179752,-0.304664,0.810898
1677106213,93940699,0.317622,0.529656,0.506932,0.470889,-0.179438,-0.305025,0.808100
1677106213,104305973,0.318763,0.528646,0.502366,0.475557,-0.179728,-0.304579,0.805466
1677106213,114102673,0.320038,0.527654,0.497467,0.480686,-0.180319,-0.304089,0.802469
1677106213,124856048,0.321146,0.526522,0.492530,0.485262,-0.180706,-0.304812,0.799347
1677106213,134738836,0.322268,0.525488,0.487362,0.490970,-0.180204,-0.305309,0.795778
1677106213,144948699,0.323299,0.524465,0.482034,0.496680,-0.179406,-0.306802,0.791830
1677106213,155047999,0.324815,0.523510,0.476418,0.503079,-0.178710,-0.306355,0.788112
