secs,nsecs,tx,ty,tz,rx,ry,rz,rw
1677104536,649659539,0.486514,0.548538,0.483080,0.536636,-0.012121,0.092398,0.838652
1677104536,660926266,0.486713,0.548465,0.482786,0.536326,-0.012759,0.092188,0.838864
1677104536,669813067,0.486801,0.548316,0.482567,0.536048,-0.012178,0.091843,0.839088
1677104536,680383201,0.487058,0.548230,0.482401,0.536456,-0.012274,0.091922,0.838817
1677104536,690443356,0.487205,0.547956,0.482342,0.536652,-0.012239,0.091316,0.838758
1677104536,699999043,0.487431,0.547877,0.482295,0.538003,-0.012337,0.091532,0.837868
1677104536,710372476,0.487541,0.547488,0.482378,0.538261,-0.012338,0.091195,0.837739
1677104536,720487167,0.487645,0.547139,0.482492,0.538885,-0.012596,0.091351,0.837317
1677104536,730513976,0.487539,0.546823,0.482533,0.540172,-0.012633,0.090961,0.836529
1677104536,740741517,0.487499,0.546560,0.482595,0.541600,-0.012680,0.092158,0.835473
1677104536,750258800,0.487313,0.546193,0.482647,0.542663,-0.012423,0.093358,0.834654
1677104536,759938953,0.487114,0.545727,0.482703,0.543365,-0.012713,0.094660,0.834046
1677104536,771043949,0.486941,0.545486,0.482691,0.545014,-0.013327,0.096285,0.832773
1677104536,779508609,0.486731,0.545213,0.482644,0.546315,-0.013961,0.097142,0.831810
1677104536,789682197,0.486583,0.544930,0.482590,0.546998,-0.013919,0.098298,0.831226
1677104536,800223016,0.486548,0.544823,0.482524,0.547902,-0.013888,0.099113,0.830534
1677104536,810388927,0.486569,0.544686,0.482479,0.548210,-0.013594,0.099539,0.830285
1677104536,820310555,0.486661,0.544702,0.482355,0.548832,-0.013404,0.099610,0.829869
1677104536,830264051,0.486736,0.544712,0.482197,0.548853,-0.012665,0.099301,0.829903
1677104536,840274699,0.486860,0.544726,0.482034,0.548433,-0.011857,0.099015,0.830227
1677104536,849777899,0.487064,0.544770,0.481836,0.547887,-0.011548,0.098845,0.830612
1677104536,859741882,0.487207,0.544835,0.481618,0.547348,-0.010731,0.098859,0.830977
1677104536,869990739,0.487307,0.544890,0.481398,0.546796,-0.010257,0.098788,0.831354
1677104536,880149697,0.487443,0.545052,0.481149,0.546965,-0.010166,0.099204,0.831195
1677104536,890052070,0.487514,0.545188,0.480874,0.547163,-0.010086,0.099967,0.830974
1677104536,900169992,0.487458,0.545010,0.480683,0.546172,-0.009993,0.100202,0.831598
1677104536,910597877,0.487495,0.545034,0.480451,0.546346,-0.010609,0.100865,0.831396
1677104536,919845932,0.487405,0.544982,0.480230,0.546719,-0.010878,0.100981,0.831133
1677104536,930022556,0.487419,0.544779,0.480105,0.546249,-0.011028,0.101844,0.831335
1677104536,940624441,0.487376,0.544750,0.479946,0.546926,-0.010825,0.102295,0.830837
1677104536,950373360,0.487335,0.544574,0.479853,0.546856,-0.010235,0.102565,0.830857
1677104536,960789218,0.487309,0.544559,0.479738,0.547596,-0.009930,0.102593,0.830370
1677104536,970224378,0.487440,0.544545,0.479599,0.548126,-0.009463,0.103535,0.829909
1677104536,980130033,0.487544,0.544628,0.479470,0.548773,-0.009034,0.104032,0.829424
1677104536,990262831,0.487622,0.544592,0.479376,0.548371,-0.008426,0.104211,0.829673
1677104537,162649,0.487606,0.544746,0.479241,0.548495,-0.007744,0.103846,0.829644
1677104537,10390511,0.487714,0.544892,0.479173,0.548297,-0.007584,0.104000,0.829757
1677104537,20503601,0.487743,0.544964,0.479145,0.547729,-0.007085,0.104222,0.830109
1677104537,30252445,0.487731,0.545158,0.479085,0.547733,-0.006771,0.104346,0.830093
1677104537,40577617,0.487652,0.545256,0.479058,0.547253,-0.007060,0.104343,0.830407
1677104537,50031695,0.487512,0.545412,0.478967,0.547209,-0.007004,0.104768,0.830383
1677104537,60264870,0.487468,0.545501,0.478941,0.546904,-0.007423,0.105812,0.830449
1677104537,70660894,0.487270,0.545594,0.478864,0.546770,-0.007442,0.106326,0.830471
1677104537,80572467,0.487085,0.545720,0.478806,0.546615,-0.007403,0.106846,0.830507
1677104537,90383223,0.486941,0.545915,0.478707,0.546460,-0.007110,0.107836,0.830483
1677104537,100721583,0.486822,0.546140,0.478593,0.546380,-0.007295,0.108398,0.830461
1677104537,110619335,0.486738,0.546185,0.478522,0.545434,-0.007264,0.109020,0.831002
1677104537,120259493,0.486728,0.546363,0.478431,0.545270,-0.007564,0.109411,0.831055
1677104537,131015096,0.486692,0.546489,0.478350,0.545130,-0.007512,0.109418,0.831146
1677104537,140787630,0.486682,0.546512,0.478333,0.544813,-0.007190,0.109499,0.831347
1677104537,150185811,0.486621,0.546491,0.478328,0.544801,-0.006593,0.109376,0.831375
1677104537,160868181,0.486658,0.546442,0.478332,0.545057,-0.006537,0.109347,0.831212
1677104537,170311312,0.486695,0.546476,0.478325,0.545691,-0.006116,0.109397,0.830792
1677104537,180371589,0.486908,0.546437,0.478371,0.545777,-0.006899,0.109853,0.830670
1677104537,190171853,0.486888,0.546371,0.478325,0.545764,-0.006714,0.109332,0.830749
1677104537,200153808,0.486981,0.546367,0.478287,0.545666,-0.006828,0.109276,0.830820
1677104537,210611891,0.487008,0.546345,0.478225,0.545488,-0.006545,0.109079,0.830964
1677104537,220233479,0.487090,0.546367,0.478190,0.545366,-0.006445,0.108993,0.831057
1677104537,230301053,0.487191,0.546449,0.478126,0.545662,-0.005776,0.109473,0.830804
1677104537,240288965,0.487244,0.546446,0.478114,0.545697,-0.005641,0.109261,0.830810
1677104537,249874398,0.487318,0.546454,0.478095,0.545717,-0.005409,0.109486,0.830769
1677104537,260545159,0.487336,0.546514,0.478053,0.545966,-0.005132,0.109604,0.830591
1677104537,270083853,0.487373,0.546535,0.478024,0.545772,-0.004622,0.110234,0.830638
1677104537,281192689,0.487395,0.546619,0.477959,0.545837,-0.004351,0.110685,0.830537
1677104537,290143174,0.487480,0.546719,0.477920,0.545694,-0.004099,0.111595,0.830511
1677104537,300484057,0.487461,0.546844,0.477842,0.545609,-0.003801,0.111694,0.830555
1677104537,310467570,0.487490,0.547047,0.477743,0.545796,-0.003202,0.112405,0.830338
1677104537,320412007,0.487611,0.547176,0.477692,0.545367,-0.002414,0.113602,0.830460
1677104537,330608346,0.487589,0.547380,0.477620,0.545733,-0.001980,0.113471,0.830238
1677104537,340616345,0.487731,0.547510,0.477628,0.545673,-0.001591,0.114246,0.830173
1677104537,350159067,0.487863,0.547564,0.477657,0.545341,-0.001354,0.114676,0.830332
1677104537,360426187,0.487905,0.547644,0.477646,0.545353,-0.000731,0.114800,0.830307
1677104537,370331873,0.487979,0.547825,0.477634,0.545688,-0.000504,0.114898,0.830074
1677104537,379900039,0.488093,0.548019,0.477620,0.546000,-0.000568,0.115305,0.829812
1677104537,389670415,0.488116,0.548180,0.477583,0.545909,-0.000236,0.115494,0.829846
1677104537,400072867,0.488078,0.548309,0.477496,0.545739,-0.000136,0.115519,0.829954
1677104537,410750834,0.488178,0.548436,0.477396,0.545090,0.000224,0.116765,0.830207
1677104537,420121928,0.488071,0.548633,0.477218,0.544950,0.000542,0.117037,0.830260
1677104537,430457316,0.488046,0.549023,0.476983,0.545458,0.000793,0.117811,0.829817
1677104537,439852917,0.488124,0.549217,0.476749,0.544859,0.000663,0.118576,0.830101
1677104537,450419548,0.488128,0.549629,0.476428,0.544778,0.001144,0.119723,0.829989
1677104537,460025610,0.488158,0.549957,0.476075,0.544177,0.001136,0.120756,0.830234
1677104537,470856245,0.487967,0.550360,0.475596,0.543965,0.002106,0.121130,0.830316
1677104537,480655685,0.488094,0.550578,0.475165,0.542246,0.001327,0.123839,0.831042
1677104537,490154376,0.488125,0.550907,0.474620,0.541515,0.000856,0.125528,0.831266
1677104537,500224893,0.488010,0.551220,0.473919,0.541096,0.001259,0.127062,0.831306
1677104537,510096382,0.487954,0.551489,0.473167,0.540475,0.000944,0.128218,0.831532
1677104537,520257804,0.487837,0.551962,0.472201,0.540881,0.001594,0.129323,0.831096
1677104537,530166730,0.487859,0.552231,0.471190,0.540403,0.001877,0.130487,0.831225
1677104537,540237518,0.488009,0.552584,0.470040,0.540124,0.002428,0.132122,0.831146
1677104537,550888862,0.488119,0.552955,0.468664,0.540247,0.003233,0.132925,0.830935
1677104537,560694868,0.488355,0.553176,0.467184,0.539595,0.003151,0.133126,0.831327
1677104537,570418643,0.488746,0.553656,0.465485,0.540169,0.003095,0.133528,0.830890
1677104537,580129018,0.488986,0.553853,0.463690,0.539849,0.004151,0.133168,0.831151
