secs,nsecs,tx,ty,tz,rx,ry,rz,rw
1677106625,757416472,0.421994,0.527627,0.519196,0.489603,0.069761,0.216565,0.841738
1677106625,767804761,0.421869,0.527687,0.518890,0.490042,0.068356,0.218644,0.841060
1677106625,777937609,0.421631,0.527610,0.518602,0.489837,0.067739,0.219717,0.840949
1677106625,787383927,0.421484,0.527955,0.518185,0.492012,0.067193,0.221497,0.839255
1677106625,797695095,0.421292,0.527860,0.517919,0.493116,0.064004,0.220418,0.839140
1677106625,808018653,0.421402,0.527980,0.517637,0.493842,0.062930,0.221170,0.838596
1677106625,817501190,0.421521,0.528000,0.517422,0.494523,0.061902,0.221465,0.838194
1677106625,827667339,0.421813,0.527844,0.517353,0.493207,0.062859,0.222129,0.838722
1677106625,837929019,0.422056,0.527938,0.517181,0.493314,0.062704,0.222278,0.838631
1677106625,848416474,0.422404,0.527911,0.517065,0.492539,0.062357,0.222144,0.839148
1677106625,856848669,0.422702,0.527942,0.516945,0.491817,0.062531,0.221729,0.839668
1677106625,867460318,0.422903,0.528268,0.516664,0.492745,0.062684,0.220999,0.839305
1677106625,877068931,0.423080,0.528431,0.516494,0.492665,0.062302,0.219594,0.839749
1677106625,887064456,0.423063,0.529294,0.515921,0.495791,0.064047,0.218985,0.837935
1677106625,897787290,0.423333,0.529443,0.515843,0.495117,0.063864,0.218667,0.838430
1677106625,907562321,0.423483,0.529647,0.515758,0.495052,0.064546,0.218729,0.838400
1677106625,918474957,0.423696,0.529816,0.515703,0.494948,0.064818,0.219125,0.838337
1677106625,928091728,0.423809,0.529830,0.515660,0.494651,0.064929,0.219123,0.838505
1677106625,938184939,0.423876,0.529851,0.515578,0.494398,0.064900,0.219453,0.838570
1677106625,947385194,0.423821,0.529988,0.515384,0.494977,0.064430,0.219750,0.838187
1677106625,957565624,0.423849,0.529970,0.515257,0.494294,0.064212,0.221037,0.838268
1677106625,967788210,0.423778,0.529990,0.515062,0.494213,0.064391,0.221732,0.838119
1677106625,977834615,0.423787,0.529927,0.515004,0.493707,0.064354,0.222838,0.838126
1677106625,988275588,0.423757,0.530050,0.514849,0.494211,0.064995,0.223835,0.837514
1677106625,998030671,0.423873,0.530039,0.514797,0.493982,0.064693,0.224243,0.837563
1677106626,8537767,0.423891,0.530095,0.514772,0.494116,0.065165,0.224469,0.837387
1677106626,18015538,0.424002,0.530143,0.514771,0.494129,0.065139,0.224339,0.837416
1677106626,27632884,0.424080,0.530229,0.514791,0.494328,0.065173,0.224148,0.837347
1677106626,37584488,0.424229,0.530351,0.514807,0.494378,0.065429,0.224455,0.837215
1677106626,47268783,0.424409,0.530439,0.514798,0.494219,0.064841,0.224434,0.837361
1677106626,57875241,0.424429,0.530614,0.514699,0.494286,0.065078,0.224426,0.837305
1677106626,67813950,0.424463,0.530713,0.514579,0.493569,0.065363,0.224821,0.837599
1677106626,77894222,0.424561,0.530989,0.514352,0.493552,0.064655,0.225186,0.837566
1677106626,88524389,0.424572,0.531291,0.514083,0.493628,0.064893,0.226004,0.837283
1677106626,97878329,0.424708,0.531583,0.513795,0.493536,0.064317,0.227446,0.836991
1677106626,108132644,0.424585,0.531774,0.513366,0.493444,0.065130,0.227908,0.836857
1677106626,117793690,0.424515,0.532034,0.512872,0.493686,0.065107,0.228575,0.836534
1677106626,127627952,0.424651,0.532352,0.512315,0.493858,0.063707,0.229840,0.836193
1677106626,137352558,0.424330,0.533023,0.511338,0.496615,0.062609,0.229780,0.834659
1677106626,147719138,0.424530,0.532958,0.510671,0.494397,0.061472,0.231356,0.835624
1677106626,157911645,0.424596,0.533359,0.509661,0.494603,0.060730,0.232938,0.835116
1677106626,167849022,0.424590,0.533810,0.508414,0.495309,0.060656,0.234988,0.834128
1677106626,178072117,0.424706,0.534068,0.507164,0.495461,0.059079,0.236289,0.833784
1677106626,187572261,0.424787,0.534360,0.505660,0.496253,0.058158,0.237846,0.832935
1677106626,197541409,0.425025,0.534485,0.504098,0.496339,0.056402,0.239692,0.832475
1677106626,207720497,0.425126,0.534816,0.502239,0.498158,0.055352,0.241394,0.830965
